headline,pub_date,source,query
"US opens embassy in Jerusalem, recognizing city as 'true capital' of Israel",,Fox News,US Embassy move to Jerusalem
"Trump officially recognizes Jerusalem as Israel's capital, orders embassy move for US",,Fox News,US Embassy move to Jerusalem
Trump delays move of US embassy to Jerusalem,,Fox News,US Embassy move to Jerusalem
Why Trump's promise to move US Embassy to Jerusalem is so controversial,,Fox News,US Embassy move to Jerusalem
Penny Nance: Here is why the US Embassy move to Jerusalem is so important to American Christians,,Fox News,US Embassy move to Jerusalem
Rep. Marsha Blackburn: US Embassy move to Jerusalem signals that America stands with Israel,,Fox News,US Embassy move to Jerusalem
"Trump to recognize Jerusalem as Israel's capital, forge ahead with moving US Embassy",,Fox News,US Embassy move to Jerusalem
"After US Embassy move, Trump weighs Jerusalem consulate changes",,Fox News,US Embassy move to Jerusalem
"US leases space at shuttered Jerusalem hotel, disputes embassy move connection",,Fox News,US Embassy move to Jerusalem
Obama suggests that moving US Embassy to Jerusalem could be 'explosive',,Fox News,US Embassy move to Jerusalem
Netanyahu says US Embassy to move to Jerusalem this year,,Fox News,US Embassy move to Jerusalem
"Michael Goodwin: Bloodshed over US Embassy move in Jerusalem is on Hamas, not Trump",,Fox News,US Embassy move to Jerusalem
Biden's opposition to moving Israel embassy in direct conflict with past statements,,Fox News,US Embassy move to Jerusalem
"Guatemala follows in Trump's footsteps, announces embassy move to Jerusalem",,Fox News,US Embassy move to Jerusalem
Dems blast Trump for Jerusalem decision despite past support,,Fox News,US Embassy move to Jerusalem
Trump administration gears up for Monday's opening of US embassy in Jerusalem,,Fox News,US Embassy move to Jerusalem
Amb. John Bolton: America's embassy in Israel should be moved to Jerusalem - NOW,,Fox News,US Embassy move to Jerusalem
Trump sees moving US Embassy in Israel to Jerusalem as 'big priority',,Fox News,US Embassy move to Jerusalem
Obama punts again on moving US embassy to Jerusalem - will 2017 end stalemate?,,Fox News,US Embassy move to Jerusalem
President Trump signs waiver delaying US Embassy move to Jerusalem,,Fox News,US Embassy move to Jerusalem
Ambassador David Friedman: Trump kept this key promise on Israel exactly 2 years ago - Unlike his predecessors,,Fox News,US Embassy move to Jerusalem
Sen. Joe Lieberman: Why US Embassy Jerusalem move happened and why it matters,,Fox News,US Embassy move to Jerusalem
"US Embassy in Israel issues travel warning to Jerusalem, West Bank, Gaza after settlement shift",,Fox News,US Embassy move to Jerusalem
"US Embassy in Jerusalem to open in May, officials say",,Fox News,US Embassy move to Jerusalem
Palestinian protesters killed ahead of US Embassy opening in Jerusalem,,Fox News,US Embassy move to Jerusalem
GOP Senators introduce bill to move US Embassy from Tel Aviv to Jerusalem,,Fox News,US Embassy move to Jerusalem
Muslim states warn US against moving embassy to Jerusalem,,Fox News,US Embassy move to Jerusalem
"Turkey recalls ambassadors to US, Israel over embassy move",,Fox News,US Embassy move to Jerusalem
A look at the stakes if US moves Israel embassy to Jerusalem,,Fox News,US Embassy move to Jerusalem
More countries following Trump in moving Israel embassy to Jerusalem,,Fox News,US Embassy move to Jerusalem
"US Consulate in Jerusalem that served Palestinians closed, says it's not signal of policy change",,Fox News,US Embassy move to Jerusalem
"US Embassy in Jerusalem to open next year, Pence says",,Fox News,US Embassy move to Jerusalem
US embassy jubilantly opens in Jerusalem as Gaza rages,,Fox News,US Embassy move to Jerusalem
"In nod to Trump, Guatemala sets Jerusalem embassy move two days after US",,Fox News,US Embassy move to Jerusalem
Palestinians seek weekend prayers to protest US Embassy move,,Fox News,US Embassy move to Jerusalem
