headline,pub_date,source,query
"An Embassy in Jerusalem? Trump Promises, but So Did Predecessors",Nov 2016,The New York Times,US Embassy move to Jerusalem
Hard-Line Supporter of Israel Offers to Pay for U.S. Embassy in Jerusalem,Feb 2018,The New York Times,US Embassy move to Jerusalem
"Donald Trump Won’t Move Embassy to Jerusalem, at Least for Now",Jun 2017,The New York Times,US Embassy move to Jerusalem
Could an Embassy in Jerusalem Bring Us Closer to Peace?,Jan 2017,The New York Times,US Embassy move to Jerusalem
Should the U.S. Embassy Be Moved From Tel Aviv to Jerusalem? ,Dec 2016,The New York Times,US Embassy move to Jerusalem
Trump Orders U.S. Embassy Move from Tel Aviv to Jerusalem,Dec 2017,The New York Times,US Embassy move to Jerusalem
"With the Embassy Move to Jerusalem, a Biblical Trump?",Mar 2018,The New York Times,US Embassy move to Jerusalem
Netanyahu Says U.S. Embassy ‘Needs to Be’ in Jerusalem,Jan 2017,The New York Times,US Embassy move to Jerusalem
"Guatemala Will Move Its Israel Embassy to Jerusalem, Following Trump’s Lead",Dec 2017,The New York Times,US Embassy move to Jerusalem
U.S. Presses to Relocate Embassy to Jerusalem by 2019,Jan 2018,The New York Times,US Embassy move to Jerusalem
Tillerson Says Embassy in Jerusalem Is at Least Three Years Away,Dec 2017,The New York Times,US Embassy move to Jerusalem
"A Quiet Jerusalem Neighborhood Gets a U.S. Embassy, and a Spotlight",Feb 2018,The New York Times,US Embassy move to Jerusalem
Trump Recognizes Jerusalem as Israel’s Capital and Orders U.S. Embassy to Move,Dec 2017,The New York Times,US Embassy move to Jerusalem
Teaching Activities for: ‘Trump Recognizes Jerusalem as Israel’s Capital and Orders U.S. Embassy to Move’,Dec 2017,The New York Times,US Embassy move to Jerusalem
"Trump to Keep Embassy in Tel Aviv, but Recognize Jerusalem as Capital",Dec 2017,The New York Times,US Embassy move to Jerusalem
"Trump Renews Vow for Jerusalem Embassy, a Gift of Uncertain Value",Jan 2017,The New York Times,US Embassy move to Jerusalem
Israel Feels Pride but Senses Peril as U.S. Moves Embassy,May 2018,The New York Times,US Embassy move to Jerusalem
"U.S. Folding Jerusalem Consulate Into Embassy, a Blow to Palestinians",Oct 2018,The New York Times,US Embassy move to Jerusalem
"Buoyed by Donald Trump Win, Jerusalem Mayor Hopes to Get U.S. Embassy",Dec 2016,The New York Times,US Embassy move to Jerusalem
Mike Pence Says U.S. Embassy Will Open in Jerusalem Next Year,Jan 2018,The New York Times,US Embassy move to Jerusalem
"New U.S. Embassy May Be in Jerusalem, but Not in Israel",Mar 2018,The New York Times,US Embassy move to Jerusalem
Listen to ‘The Daily’: Two Views of the U.S. Embassy in Jerusalem,May 2018,The New York Times,US Embassy move to Jerusalem
"As U.S. Embassy Moves, Dozens Die in Gaza",May 2018,The New York Times,US Embassy move to Jerusalem
9 Things to Know About Jerusalem as U.S. Embassy Opens,May 2018,The New York Times,US Embassy move to Jerusalem
Australian Leader Considers Moving Embassy to Jerusalem From Tel Aviv,Oct 2018,The New York Times,US Embassy move to Jerusalem
"For Trump, an Embassy in Jerusalem Is a Political Decision, Not a Diplomatic One",Dec 2017,The New York Times,US Embassy move to Jerusalem
Protests in Lebanon Near U.S. Embassy After Trump’s Jerusalem Decision,Dec 2017,The New York Times,US Embassy move to Jerusalem
Israel Kills Dozens at Gaza Border as U.S. Embassy Opens in Jerusalem,May 2018,The New York Times,US Embassy move to Jerusalem
"Teaching Activities for: ‘Death in Gaza, New Embassy in Jerusalem, and Peace as Distant as Ever’",May 2018,The New York Times,US Embassy move to Jerusalem
3 Books to Help You Understand Why Moving the U.S. Embassy to Jerusalem Prompted Protests,May 2018,The New York Times,US Embassy move to Jerusalem
"Robert Jeffress, Pastor Who Said Jews Are Going to Hell, Led Prayer at Jerusalem Embassy",May 2018,The New York Times,US Embassy move to Jerusalem
"Killings in Gaza, New Embassy in Jerusalem, and Peace as Distant as Ever",May 2018,The New York Times,US Embassy move to Jerusalem
U.S. Vetoes U.N. Resolution Condemning Move on Jerusalem,Dec 2017,The New York Times,US Embassy move to Jerusalem
Trump Recognizes Jerusalem as Israel’s Capital,Dec 2017,The New York Times,US Embassy move to Jerusalem
"Amid Debate and Violence, Trump Delivers Embassy Victory to Christian Base",May 2018,The New York Times,US Embassy move to Jerusalem
"Jerusalem Embassy Is a Victory for Trump, and a Complication for Middle East Peace",May 2018,The New York Times,US Embassy move to Jerusalem
"Paul Ryan, Oscars, Jerusalem Embassy: Your Evening Briefing",Mar 2018,The New York Times,US Embassy move to Jerusalem
Jerusalem Largely Calm as Region Protests Trump Move,Dec 2017,The New York Times,US Embassy move to Jerusalem
Donald Trump Seems Confused About Jerusalem,Dec 2017,The New York Times,US Embassy move to Jerusalem
E.U. Leaders Reject Netanyahu on Jerusalem Recognition,Dec 2017,The New York Times,US Embassy move to Jerusalem
"U.S. to Recognize Jerusalem as Israel’s Capital, Trump Says, Alarming Middle East Leaders",Dec 2017,The New York Times,US Embassy move to Jerusalem
