headline,pub_date,source,query,polarity,sentiment
"An Embassy in Jerusalem? Trump Promises, but So Did Predecessors",Nov 2016,The New York Times,US Embassy move to Jerusalem,0.2023,positive
Hard-Line Supporter of Israel Offers to Pay for U.S. Embassy in Jerusalem,Feb 2018,The New York Times,US Embassy move to Jerusalem,0.1779,positive
"Donald Trump Won’t Move Embassy to Jerusalem, at Least for Now",Jun 2017,The New York Times,US Embassy move to Jerusalem,0.0,neutral
Could an Embassy in Jerusalem Bring Us Closer to Peace?,Jan 2017,The New York Times,US Embassy move to Jerusalem,0.5423,positive
Should the U.S. Embassy Be Moved From Tel Aviv to Jerusalem? ,Dec 2016,The New York Times,US Embassy move to Jerusalem,0.0,neutral
Trump Orders U.S. Embassy Move from Tel Aviv to Jerusalem,Dec 2017,The New York Times,US Embassy move to Jerusalem,0.0,neutral
"With the Embassy Move to Jerusalem, a Biblical Trump?",Mar 2018,The New York Times,US Embassy move to Jerusalem,0.0,neutral
Netanyahu Says U.S. Embassy ‘Needs to Be’ in Jerusalem,Jan 2017,The New York Times,US Embassy move to Jerusalem,0.0,neutral
"Guatemala Will Move Its Israel Embassy to Jerusalem, Following Trump’s Lead",Dec 2017,The New York Times,US Embassy move to Jerusalem,0.0,neutral
U.S. Presses to Relocate Embassy to Jerusalem by 2019,Jan 2018,The New York Times,US Embassy move to Jerusalem,0.0,neutral
Tillerson Says Embassy in Jerusalem Is at Least Three Years Away,Dec 2017,The New York Times,US Embassy move to Jerusalem,0.0,neutral
"A Quiet Jerusalem Neighborhood Gets a U.S. Embassy, and a Spotlight",Feb 2018,The New York Times,US Embassy move to Jerusalem,0.0,neutral
Trump Recognizes Jerusalem as Israel’s Capital and Orders U.S. Embassy to Move,Dec 2017,The New York Times,US Embassy move to Jerusalem,0.0,neutral
Teaching Activities for: ‘Trump Recognizes Jerusalem as Israel’s Capital and Orders U.S. Embassy to Move’,Dec 2017,The New York Times,US Embassy move to Jerusalem,0.0,neutral
"Trump to Keep Embassy in Tel Aviv, but Recognize Jerusalem as Capital",Dec 2017,The New York Times,US Embassy move to Jerusalem,0.0,neutral
"Trump Renews Vow for Jerusalem Embassy, a Gift of Uncertain Value",Jan 2017,The New York Times,US Embassy move to Jerusalem,0.4767,positive
Israel Feels Pride but Senses Peril as U.S. Moves Embassy,May 2018,The New York Times,US Embassy move to Jerusalem,-0.431,negative
"U.S. Folding Jerusalem Consulate Into Embassy, a Blow to Palestinians",Oct 2018,The New York Times,US Embassy move to Jerusalem,0.0,neutral
"Buoyed by Donald Trump Win, Jerusalem Mayor Hopes to Get U.S. Embassy",Dec 2016,The New York Times,US Embassy move to Jerusalem,0.765,positive
Mike Pence Says U.S. Embassy Will Open in Jerusalem Next Year,Jan 2018,The New York Times,US Embassy move to Jerusalem,0.0,neutral
"New U.S. Embassy May Be in Jerusalem, but Not in Israel",Mar 2018,The New York Times,US Embassy move to Jerusalem,0.0,neutral
Listen to ‘The Daily’: Two Views of the U.S. Embassy in Jerusalem,May 2018,The New York Times,US Embassy move to Jerusalem,0.0,neutral
"As U.S. Embassy Moves, Dozens Die in Gaza",May 2018,The New York Times,US Embassy move to Jerusalem,-0.5994,negative
9 Things to Know About Jerusalem as U.S. Embassy Opens,May 2018,The New York Times,US Embassy move to Jerusalem,0.0,neutral
Australian Leader Considers Moving Embassy to Jerusalem From Tel Aviv,Oct 2018,The New York Times,US Embassy move to Jerusalem,0.0,neutral
"For Trump, an Embassy in Jerusalem Is a Political Decision, Not a Diplomatic One",Dec 2017,The New York Times,US Embassy move to Jerusalem,0.0,neutral
Protests in Lebanon Near U.S. Embassy After Trump’s Jerusalem Decision,Dec 2017,The New York Times,US Embassy move to Jerusalem,-0.2263,negative
Israel Kills Dozens at Gaza Border as U.S. Embassy Opens in Jerusalem,May 2018,The New York Times,US Embassy move to Jerusalem,-0.5423,negative
"Teaching Activities for: ‘Death in Gaza, New Embassy in Jerusalem, and Peace as Distant as Ever’",May 2018,The New York Times,US Embassy move to Jerusalem,0.5423,positive
3 Books to Help You Understand Why Moving the U.S. Embassy to Jerusalem Prompted Protests,May 2018,The New York Times,US Embassy move to Jerusalem,0.2023,positive
"Robert Jeffress, Pastor Who Said Jews Are Going to Hell, Led Prayer at Jerusalem Embassy",May 2018,The New York Times,US Embassy move to Jerusalem,-0.6808,negative
"Killings in Gaza, New Embassy in Jerusalem, and Peace as Distant as Ever",May 2018,The New York Times,US Embassy move to Jerusalem,-0.25,negative
U.S. Vetoes U.N. Resolution Condemning Move on Jerusalem,Dec 2017,The New York Times,US Embassy move to Jerusalem,0.0,neutral
Trump Recognizes Jerusalem as Israel’s Capital,Dec 2017,The New York Times,US Embassy move to Jerusalem,0.0,neutral
"Amid Debate and Violence, Trump Delivers Embassy Victory to Christian Base",May 2018,The New York Times,US Embassy move to Jerusalem,-0.6249,negative
"Jerusalem Embassy Is a Victory for Trump, and a Complication for Middle East Peace",May 2018,The New York Times,US Embassy move to Jerusalem,0.5423,positive
"Paul Ryan, Oscars, Jerusalem Embassy: Your Evening Briefing",Mar 2018,The New York Times,US Embassy move to Jerusalem,0.0,neutral
Jerusalem Largely Calm as Region Protests Trump Move,Dec 2017,The New York Times,US Embassy move to Jerusalem,0.1027,positive
Donald Trump Seems Confused About Jerusalem,Dec 2017,The New York Times,US Embassy move to Jerusalem,-0.3182,negative
E.U. Leaders Reject Netanyahu on Jerusalem Recognition,Dec 2017,The New York Times,US Embassy move to Jerusalem,-0.4019,negative
"U.S. to Recognize Jerusalem as Israel’s Capital, Trump Says, Alarming Middle East Leaders",Dec 2017,The New York Times,US Embassy move to Jerusalem,-0.128,negative
Emmanuel Macron Warns Trump Over Plan to Recognize Jerusalem as Israel’s Capital,Dec 2017,The New York Times,US Embassy move to Jerusalem,-0.1027,negative
